CODFILIAL,CHAPA,NOME,FUNCAO,CNES,SECAO,DATAADMISSAO,SITUAÇÃO RM,HORÁRIO,MOTIVOADMISSAO,FILIAL,CARGAMENSAL,CARGASEMANAL,LICINICIO,LICFIM,STATUS,DATADEMISSAO
40,40000013,NOAMI MAFFUCCI,AGENTE COMUNITÁRIO DE SAÚDE,PERTENCE A EQUIPE MÍNIMA,UBS A. E. DE CARVALHO,2009-01-19,Ativo,08:00 - 12:00 - 13:00 - 17:00  (SEG A SEX),TRANSFERÊNCIA,40-PENHA,200,40,2024-08-15,2024-08-15,Atestado,
40,40000015,DAMITA CUMMINE,AGENTE COMUNITÁRIO DE SAÚDE,PERTENCE A EQUIPE MÍNIMA,UBS A. E. DE CARVALHO,2008-04-22,Ativo,08:00 - 12:00 - 13:00 - 17:00  (SEG A SEX),TRANSFERÊNCIA,40-PENHA,200,40,,,Ativo,
40,40000016,SENA BEVER,AUXILIAR DE SAÚDE BUCAL,PERTENCE A EQUIPE MÍNIMA,UBS JARDIM SÃO FRANCISCO,2008-09-22,Ativo,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),TRANSFERÊNCIA,40-PENHA,200,40,2024-08-16,2024-08-20,Atestado,
40,40000021,SIGMUND SPENCOCK,AGENTE COMUNITÁRIO DE SAÚDE,PERTENCE A EQUIPE MÍNIMA,UBS A. E. DE CARVALHO,2014-07-07,Ativo,08:00 - 12:00 - 13:00 - 17:00  (SEG A SEX),TRANSFERÊNCIA,40-PENHA,200,40,,,Ativo,
40,40000023,QUINTILLA CARLE,TÉCNICO DE ENFERMAGEM,NÃO PERTENCE A EQUIPE MÍNIMA,UBS A. E. DE CARVALHO,2013-11-18,Ativo,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),TRANSFERÊNCIA,40-PENHA,200,40,2024-07-10,2024-08-08,Férias,
40,40000023,QUINTILLA CARLE,TÉCNICO DE ENFERMAGEM,NÃO PERTENCE A EQUIPE MÍNIMA,UBS A. E. DE CARVALHO,2013-11-18,Ativo,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),TRANSFERÊNCIA,40-PENHA,200,40,2024-08-09,2024-08-22,Af.Previdência,
40,40000025,KRISTAL KELWAY,TÉCNICO FARMÁCIA,NÃO PERTENCE A EQUIPE MÍNIMA,UBS A. E. DE CARVALHO,2002-06-10,Ativo,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),TRANSFERÊNCIA,40-PENHA,200,40,2024-08-20,2024-08-24,Af.Previdência,
40,40000026,AD KERMIT,MÉDICO CARDIOLOGISTA - HC,PERTENCE A EQUIPE MÍNIMA,HOSPITAL DIA PENHA,2002-07-18,Ativo,QUA E SEX - 06:45 10:00 10:15 13:00,TRANSFERÊNCIA,40-PENHA,60,12,,,Ativo,
40,40000027,FLEM PAULI,AGENTE COMUNITÁRIO DE SAÚDE,PERTENCE A EQUIPE MÍNIMA,UBS A. E. DE CARVALHO,2014-09-19,Ativo,08:00 - 12:00 - 13:00 - 17:00  (SEG A SEX),TRANSFERÊNCIA,40-PENHA,200,40,,,Ativo,
40,40000028,DOUGY VALENTA,AGENTE COMUNITÁRIO DE SAÚDE,PERTENCE A EQUIPE MÍNIMA,UBS A. E. DE CARVALHO,2013-10-01,Ativo,08:00 - 12:00 - 13:00 - 17:00  (SEG A SEX),TRANSFERÊNCIA,40-PENHA,200,40,2024-09-04,2024-09-04,Af.Previdência,
40,40000030,FULTON PECKITT,TÉCNICO FARMÁCIA,NÃO PERTENCE A EQUIPE MÍNIMA,UBS A. E. DE CARVALHO,2011-01-17,Ativo,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),TRANSFERÊNCIA,40-PENHA,200,40,,,Ativo,
40,40000032,ALEX PIATTO,TÉCNICO DE ENFERMAGEM,NÃO PERTENCE A EQUIPE MÍNIMA,UBS A. E. DE CARVALHO,2013-05-02,Ativo,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),TRANSFERÊNCIA,40-PENHA,200,40,,,Ativo,
40,40000036,TOWNEY BESANT,AUXILIAR ADMINISTRATIVO II,NÃO PERTENCE A EQUIPE MÍNIMA,AMA JARDIM NORDESTE - 24 HS,2016-04-04,Ativo,07:00 - 12:00 - 13:00 - 19:00 (12X36),AUMENTO DE QUADRO,40-PENHA,180,36,,,Ativo,
