rel_2141_CNES,rel_2141_UNIDADE,rel_2141_NOME,rel_2141_CARGO,rel_2141_DT_ADMISSAO,rel_2141_DT_DEMISSAO,rel_2141_prof_ID,rel_2141_HORARIO,rel_2141_JORNADA,rel_2141_STATUS,rel_2141_LICINICIO,rel_2141_LICFIM,rel_2141_AUSENCIA
2786729,UBS A. E. DE CARVALHO,NOAMI MAFFUCCI,AGENTE COMUNITARIO DE SAUDE,2009-01-19,,40000013,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-08-15,2024-08-15,Atestado
2787776,UBS JARDIM SAO FRANCISCO,SENA BEVER,AUXILIAR DE SAUDE BUCAL,2008-09-22,,40000016,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,2024-08-16,2024-08-20,Atestado
2786729,UBS A. E. DE CARVALHO,QUINTILLA CARLE,TECNICO DE ENFERMAGEM,2013-11-18,,40000023,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-07-10,2024-08-08,Férias
2786729,UBS A. E. DE CARVALHO,QUINTILLA CARLE,TECNICO DE ENFERMAGEM,2013-11-18,,40000023,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-09,2024-08-22,Atestado
2786729,UBS A. E. DE CARVALHO,KRISTAL KELWAY,TECNICO FARMACIA,2002-06-10,,40000025,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,2024-08-20,2024-08-24,Atestado
2786729,UBS A. E. DE CARVALHO,DOUGY VALENTA,AGENTE COMUNITARIO DE SAUDE,2013-10-01,,40000028,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-09-04,2024-09-04,Atestado
6143180,AMA 24HS ENGENHEIRO GOULART - DR. JOSE PIRES,DAVIN KILLBEY,AUXILIAR ADMINISTRATIVO,2016-04-01,,40000039,19:00 - 01:00 - 02:00 - 07:00 (12X36),36,Af.Previdência,2023-07-04,,Af.Previdência
2027070,UBS PADRE MANOEL DA NOBREGA,JESSIKA ZUANAZZI,AUXILIAR ADMINISTRATIVO,2009-03-19,,40000056,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,2024-08-05,2024-09-03,Férias
2752204,UBS CANGAIBA - DR. CARLOS GENTILE DE MELLO,DOMINIQUE GRADWELL,ASSISTENTE SOCIAL,2009-04-17,,40000057,07:00 - 10:00 - 10:15 - 13:15 (SEG A SEX),30,Ativo,2024-08-09,2024-08-13,Atestado
2786729,UBS A. E. DE CARVALHO,MERLINA HORCHE,ENFERMEIRO ESF,2013-12-02,,40000069,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,2024-08-27,2024-08-31,Atestado
2788969,UBS VILA GUILHERMINA - DR. AMERICO RASPA NETO,IVETTE BURRESS,ENFERMEIRO ESF,2011-03-16,,40000082,06:30 - 11:00 - 12:00 - 15:30 (SEG A SEX),40,Ativo,2024-08-21,2024-08-23,Atestado
2786729,UBS A. E. DE CARVALHO,ARLINDA ROSENTHAL,AGENTE COMUNITARIO DE SAUDE,2016-03-09,,40000092,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-08-26,2024-08-26,Atestado
2786729,UBS A. E. DE CARVALHO,WALDEN CASTRO,TECNICO DE ENFERMAGEM,2016-03-01,,40000100,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-20,2024-08-20,Atestado
2787776,UBS JARDIM SAO FRANCISCO,ASHLI HANNABY,TECNICO EM SAUDE BUCAL,2016-03-07,,40000104,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-07-10,2024-08-08,Férias
2786729,UBS A. E. DE CARVALHO,SIGISMONDO RAILTON,TECNICO EM SAUDE BUCAL,2016-03-01,,40000110,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-09-03,2024-09-03,Atestado
6143180,AMA 24HS ENGENHEIRO GOULART - DR. JOSE PIRES,REMY LAYTHAM,AUXILIAR ADMINISTRATIVO,2016-08-01,,40000116,19:00 - 01:00 - 02:00 - 07:00 (12X36),36,Ativo,2024-08-03,2024-08-04,Atestado
6143180,AMA 24HS ENGENHEIRO GOULART - DR. JOSE PIRES,REMY LAYTHAM,AUXILIAR ADMINISTRATIVO,2016-08-01,,40000116,19:00 - 01:00 - 02:00 - 07:00 (12X36),36,Ativo,2024-09-03,2024-09-03,Atestado
2786753,UBS DR. ANTONIO P. F. VILALLOBO,LETTY HAVILE,TECNICO DE ENFERMAGEM,2016-04-01,,40000117,06:30 - 11:00 - 12:00 - 15:30 (SEG A SEX),40,Ativo,2024-08-22,2024-08-23,Atestado
2786753,UBS DR. ANTONIO P. F. VILALLOBO,ELLISSA UDDEN,TECNICO EM SAUDE BUCAL,2016-04-04,,40000123,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-08,2024-08-08,Atestado
2787776,UBS JARDIM SAO FRANCISCO,SHIR HURDWELL,AGENTE COMUNITARIO DE SAUDE,2016-04-01,,40000128,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-08-23,2024-08-23,Atestado
2752204,AMA CANGAIBA - DR. CARLOS GENTILE DE MELLO,EAL GAVAN,ASSISTENTE ADMINISTRATIVO,2013-02-04,,40000130,07:20 - 11:00 - 12:00 - 16:20 (SEG A SEX),40,Ativo,2024-08-26,2024-08-27,Atestado
2752204,UBS CANGAIBA - DR. CARLOS GENTILE DE MELLO,BROOKE LADD,AUXILIAR ADMINISTRATIVO,2016-03-07,,40000134,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,2024-08-01,2024-08-02,Atestado
2752204,UBS CANGAIBA - DR. CARLOS GENTILE DE MELLO,BROOKE LADD,AUXILIAR ADMINISTRATIVO,2016-03-07,,40000134,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,2024-08-06,2024-08-06,Atestado
2752204,UBS CANGAIBA - DR. CARLOS GENTILE DE MELLO,BROOKE LADD,AUXILIAR ADMINISTRATIVO,2016-03-07,,40000134,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,2024-08-20,2024-08-20,Atestado
2752204,UBS CANGAIBA - DR. CARLOS GENTILE DE MELLO,BROOKE LADD,AUXILIAR ADMINISTRATIVO,2016-03-07,,40000134,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,2024-08-21,2024-08-21,Atestado
2752204,UBS CANGAIBA - DR. CARLOS GENTILE DE MELLO,BROOKE LADD,AUXILIAR ADMINISTRATIVO,2016-03-07,,40000134,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,2024-09-03,2024-09-03,Atestado
2751933,HOSPITAL DIA PENHA,DIANA GILBARD,TECNICO DE ENFERMAGEM,2014-05-05,,40000140,12:45 - 16:00 - 16:15 - 19:00 (SEG A DOM) CONFORME ESCALA,36,Ativo,2024-07-17,2024-08-15,Férias
