rel_2141_CNES,rel_2141_UNIDADE,rel_2141_NOME,rel_2141_CARGO,rel_2141_DT_ADMISSAO,rel_2141_DT_DEMISSAO,rel_2141_prof_ID,rel_2141_HORARIO,rel_2141_JORNADA,rel_2141_STATUS,LEGAL_ABSENCES
2786729,UBS A. E. DE CARVALHO,NOAMI MAFFUCCI,AGENTE COMUNITARIO DE SAUDE,2009-01-19,,40000013,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,Atestado: 15/08/2024
2786729,UBS A. E. DE CARVALHO,DAMITA CUMMINE,AGENTE COMUNITARIO DE SAUDE,2008-04-22,,40000015,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,
2787776,UBS JARDIM SAO FRANCISCO,SENA BEVER,AUXILIAR DE SAUDE BUCAL,2008-09-22,,40000016,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,Atestado: 16/08/2024 a 20/08/2024
2786729,UBS A. E. DE CARVALHO,SIGMUND SPENCOCK,AGENTE COMUNITARIO DE SAUDE,2014-07-07,,40000021,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,
2786729,UBS A. E. DE CARVALHO,QUINTILLA CARLE,TECNICO DE ENFERMAGEM,2013-11-18,,40000023,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,Férias: 10/07/2024 a 08/08/2024 | Atestado: 09/08/2024 a 22/08/2024
2786729,UBS A. E. DE CARVALHO,KRISTAL KELWAY,TECNICO FARMACIA,2002-06-10,,40000025,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,Atestado: 20/08/2024 a 24/08/2024
2751933,HOSPITAL DIA PENHA,AD KERMIT,MEDICO CARDIOLOGISTA,2002-07-18,,40000026,QUA E SEX - 06:45 10:00 10:15 13:00,12,Ativo,
2786729,UBS A. E. DE CARVALHO,FLEM PAULI,AGENTE COMUNITARIO DE SAUDE,2014-09-19,,40000027,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,
2786729,UBS A. E. DE CARVALHO,DOUGY VALENTA,AGENTE COMUNITARIO DE SAUDE,2013-10-01,,40000028,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,Atestado: 04/09/2024
2786729,UBS A. E. DE CARVALHO,FULTON PECKITT,TECNICO FARMACIA,2011-01-17,,40000030,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,
2786729,UBS A. E. DE CARVALHO,ALEX PIATTO,TECNICO DE ENFERMAGEM,2013-05-02,,40000032,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,
2042827,AMA JARDIM NORDESTE - 24 HS,TOWNEY BESANT,AUXILIAR ADMINISTRATIVO,2016-04-04,,40000036,07:00 - 12:00 - 13:00 - 19:00 (12X36),36,Ativo,
2786729,UBS A. E. DE CARVALHO,BRENDAN ROBINSON,AUXILIAR ADMINISTRATIVO,2016-04-04,,40000037,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,
2751933,HOSPITAL DIA PENHA,PAOLO ROSENBLAD,AUXILIAR ADMINISTRATIVO,2016-07-18,,40000038,06:45 - 11:00 - 12:00 - 15:45 (SEG A SEX),40,Ativo,
6143180,AMA 24HS ENGENHEIRO GOULART - DR. JOSE PIRES,DAVIN KILLBEY,AUXILIAR ADMINISTRATIVO,2016-04-01,,40000039,19:00 - 01:00 - 02:00 - 07:00 (12X36),36,Af.Previdência,Af.Previdência: A partir de 04/07/2023
2751933,HOSPITAL DIA PENHA,LYNETTE TOFANO,ENFERMEIRO,2016-07-18,,40000045,07:00 - 10:00 - 10:15 - 13:15 (SEG A DOM) - CONFORME ESCALA,36,Ativo,
2787776,UBS JARDIM SAO FRANCISCO,GAILE UDALL,AUXILIAR ADMINISTRATIVO,2016-04-01,,40000048,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,
2027070,UBS PADRE MANOEL DA NOBREGA,JESSIKA ZUANAZZI,AUXILIAR ADMINISTRATIVO,2009-03-19,,40000056,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,Férias: 05/08/2024 a 03/09/2024
2752204,UBS CANGAIBA - DR. CARLOS GENTILE DE MELLO,DOMINIQUE GRADWELL,ASSISTENTE SOCIAL,2009-04-17,,40000057,07:00 - 10:00 - 10:15 - 13:15 (SEG A SEX),30,Ativo,Atestado: 09/08/2024 a 13/08/2024
2786729,UBS A. E. DE CARVALHO,MERLINA HORCHE,ENFERMEIRO ESF,2013-12-02,,40000069,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,Atestado: 27/08/2024 a 31/08/2024
2786729,UBS A. E. DE CARVALHO,CONCORDIA GOTOBED,ASSISTENTE ADMINISTRATIVO,2010-07-12,,40000076,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,
2788969,UBS VILA GUILHERMINA - DR. AMERICO RASPA NETO,IVETTE BURRESS,ENFERMEIRO ESF,2011-03-16,,40000082,06:30 - 11:00 - 12:00 - 15:30 (SEG A SEX),40,Ativo,Atestado: 21/08/2024 a 23/08/2024
9844597,CER PARQUE ARTHUR ALVIM,BRANDEN ATTOC,AUXILIAR ADMINISTRATIVO,2009-04-17,,40000084,06:50 - 11:00 - 12:00 - 15:50 (SEG A SEX),40,Ativo,
7641974,CER III PENHA,TRIS MIDFORD,GERENTE DE UNIDADE DE SAUDE,2009-11-09,,40000088,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,
2786729,UBS A. E. DE CARVALHO,ARLINDA ROSENTHAL,AGENTE COMUNITARIO DE SAUDE,2016-03-09,,40000092,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,Atestado: 26/08/2024
6194990,AMA CHACARA CRUZEIRO DO SUL,CHRISTAN WORLEDGE,TECNICO FARMACIA,2016-03-14,,40000098,07:00 - 10:00 - 10:15 - 13:15 (SEG A SAB),36,Ativo,
2786729,UBS A. E. DE CARVALHO,WALDEN CASTRO,TECNICO DE ENFERMAGEM,2016-03-01,,40000100,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,Atestado: 20/08/2024
2787776,UBS JARDIM SAO FRANCISCO,ASHLI HANNABY,TECNICO EM SAUDE BUCAL,2016-03-07,,40000104,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,Férias: 10/07/2024 a 08/08/2024
2786729,UBS A. E. DE CARVALHO,SIGISMONDO RAILTON,TECNICO EM SAUDE BUCAL,2016-03-01,,40000110,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,Atestado: 03/09/2024
2042827,AMA JARDIM NORDESTE - 24 HS,GERARDO WHELBAND,ENFERMEIRO,2016-04-01,,40000114,07:00 - 12:00 - 13:00 - 19:00 (12X36),36,Ativo,
6143180,AMA 24HS ENGENHEIRO GOULART - DR. JOSE PIRES,REMY LAYTHAM,AUXILIAR ADMINISTRATIVO,2016-08-01,,40000116,19:00 - 01:00 - 02:00 - 07:00 (12X36),36,Ativo,Atestado: 03/08/2024 a 04/08/2024 | Atestado: 03/09/2024
